"","Year","Provinces","intermon","intermonH","premon","premonH","mon","monH","postmon","postmonH"
"X3.2",2008,"Nonthaburi",8.55125595547587,66.8069555796457,11.4711059537513,70.4575839917695,31.9552237283073,75.5444875673962,21.1488853702585,74.4340742832198
"X5.2",2008,"P.Nakhon S.Ayutthaya",13.7114033721075,63.3598149803279,16.2547716140085,69.178621258212,19.9959492077089,76.5860050611029,14.2551766932376,74.9886550736131
"X4.2",2008,"Pathum Thani",6.75704402629477,67.6825451174191,8.36491087187466,71.391439293084,19.8143826277531,78.2551015627266,9.82877027445273,76.6526422925515
"X75.2",2008,"Pattani",10.7490853855473,81.3152835660768,7.41170802811508,78.5274270412605,12.5844625894037,79.4853837281755,10.885946166294,84.8864358883459
"X66.2",2008,"Phangnga",9.28010223407401,75.2920099846759,10.5964335053929,83.4008827589045,12.5170370782454,84.2327697312654,2.78156379516564,84.6442201173128
"X74.2",2008,"Phatthalung",9.20965729799943,82.3487290813821,14.1138071765099,82.5261657368566,11.8162106594036,82.174740736274,13.8840475247993,85.4854914322239
"X45.2",2008,"Phayao",1.18297137892581,69.9267637922957,6.36393496469043,67.4420867453731,11.239530300542,82.200005335197,3.6951880440138,79.0897868343582
"X55.2",2008,"Phetchabun",2.20999660444748,68.0171500218497,15.8774023363899,74.4412544138336,35.297073232006,84.4431198208778,4.17033036050747,77.7020736803457
"X62.2",2008,"Phetchaburi",7.52810819252708,71.6619228398316,8.45548620129694,76.3947093980495,17.4529907488309,81.722722945081,5.42018346236983,79.7483505598743
"X54.2",2008,"Phichit",8.97268415538486,64.5871555153989,11.4486866849966,68.1257027545346,31.227799339471,80.6211402014127,18.6191799245471,78.8979342491501
"X53.2",2008,"Phitsanulok",2.91887774736803,69.4323534668875,12.1418403482028,71.6998845696339,31.8427647443532,83.4205491908081,20.8145834540619,79.935314106742
"X43.2",2008,"Phrae",0.720712574622676,69.9969514680389,7.43001002690674,69.7194503383082,21.2079897855396,84.0228620375563,8.7645263909628,81.3029568862061
"X67.2",2008,"Phuket",14.4110440753842,77.1775542216979,18.6556241248974,81.2723241330305,27.7601640901067,81.204440330292,13.9917180936731,82.1957023193786
"X16.2",2008,"Prachin Buri",9.61182497573013,67.5231491897875,18.7649488077762,75.5266245419217,30.1502206324942,84.9450191756236,4.76341008197396,79.257223362424
"X63.2",2008,"Prachuap Khiri Khan",8.74903479208291,75.2759987838979,21.2936345919723,78.0563751178767,14.5815106445028,82.4744940803807,4.95969749813019,80.424496200256
